DATE,GEAR, SPECIES,TL_MM,FL_MM,WEIGHT_G,WEIGHT_SOURCE,SAMPLED_FOR_DIET,FISH_ID,NOTES
6/15/2014,HOOP,BBH,124,,21,FIELD,Y,BBH.6.01,
6/15/2014,HOOP,BHS,36,32,0.2,FIELD,Y,BHS.6.51,
6/12/2014,HOOP,BHS,43,41,1,FIELD,Y,BHS.6.01,
6/13/2014,SEINE,BHS,55,54,1.3,FIELD,Y,BHS.6.10,
6/14/2014,SEINE,BHS,53,50,0.8,FIELD,Y,BHS.6.11,
6/14/2014,SEINE,BHS,45,43,0.8,FIELD,Y,BHS.6.12,
6/14/2014,SEINE,BHS,43,40,0.6,FIELD,Y,BHS.6.13,
6/14/2014,SEINE,BHS,50,46,0.9,FIELD,Y,BHS.6.14,
6/14/2014,SEINE,BHS,61,55,1.7,LM REGRESSION,Y,BHS.6.15,
6/14/2014,SEINE,FMS,55,52,1.2,LM REGRESSION,Y,FMS.6.50,
6/14/2014,SEINE,BHS,42,39,0.5,LM REGRESSION,Y,BHS.6.18,
6/12/2014,SEINE,SUC,32,30,,,N,,
6/12/2014,SEINE,SUC,40,37,,,N,,
6/12/2014,SEINE,SUC,37,34,,,N,,
6/12/2014,SEINE,SUC,31,29,,,N,,
6/12/2014,SEINE,SUC,29,27,,,N,,
6/12/2014,SEINE,SUC,21,20,,,N,,
6/12/2014,SEINE,SUC,27,26,,,N,,
6/12/2014,SEINE,SUC,38,36,,,N,,
6/14/2014,SEINE,BHS,42,44,0.5,LM REGRESSION,Y,BHS.6.19,
6/12/2014,SEINE,SUC,31,29,,,N,,
6/12/2014,SEINE,SUC,35,34,,,N,,
6/12/2014,SEINE,SUC,22,21,,,N,,
6/12/2014,SEINE,BHS,75,68,3.1,FIELD,Y,BHS.6.02,
6/12/2014,SEINE,SUC,30,29,,,N,,
6/12/2014,SEINE,SUC,38,36,,,N,,
6/12/2014,SEINE,SUC,19,18,,,N,,
6/12/2014,SEINE,SUC,26,25,,,N,,
6/12/2014,SEINE,SUC,34,33,,,N,,
6/12/2014,SEINE,SUC,25,24,,,N,,
6/12/2014,SEINE,SUC,32,31,,,N,,
6/12/2014,SEINE,SUC,29,28,,,N,,
6/14/2014,SEINE,BHS,44,42,0.6,LM REGRESSION,Y,BHS.6.20,
6/12/2014,HOOP,HBC,187,171,54.1,FIELD,N,,
6/12/2014,HOOP,HBC,246,220,109.6,FIELD,N,,
6/12/2014,SEINE,SUC,29,27,,,N,,
6/12/2014,SEINE,SUC,27,26,,,N,,
6/12/2014,SEINE,SUC,28,27,,,N,,
6/12/2014,SEINE,SUC,25,24,,,N,,
6/15/2014,SEINE,BHS,52,46,1.2,FIELD,Y,BHS.6.21,
6/12/2014,SEINE,SUC,28,27,,,N,,
6/12/2014,SEINE,SUC,26,25,,,N,,
6/12/2014,SEINE,SUC,27,26,,,N,,
6/12/2014,SEINE,SUC,22,21,,,N,,
6/12/2014,SEINE,SUC,29,28,,,N,,
6/12/2014,SEINE,SUC,27,26,,,N,,
6/12/2014,SEINE,SUC,20,19,,,N,,
6/12/2014,SEINE,SUC,24,23,,,N,,
6/12/2014,SEINE,SUC,26,25,,,N,,
6/15/2014,SEINE,BHS,71,65,2.9,FIELD,Y,BHS.6.22,
6/12/2014,HOOP,SUC,37,35,0.6,FIELD,N,,
6/12/2014,HOOP,HBC,53,48,,,N,,
6/12/2014,HOOP,HBC,44,39,0.6,FIELD,N,,
6/15/2014,SEINE,BHS,46,42,0.7,FIELD,Y,BHS.6.23,
6/12/2014,HOOP,HBC,39,35,0.6,FIELD,N,,
6/12/2014,HOOP,SUC,39,37,,,N,,
6/12/2014,SEINE,SUC,35,33,,,N,,
6/12/2014,SEINE,SUC,38,35,,,N,,
6/12/2014,SEINE,SUC,32,30,,,N,,
6/12/2014,SEINE,SUC,36,34,0.4,FIELD,N,,
6/12/2014,SEINE,SUC,34,31,0.3,FIELD,N,,
6/12/2014,SEINE,SUC,34,32,0.4,FIELD,N,,
6/12/2014,SEINE,SUC,32,30,,,N,,
6/12/2014,SEINE,SUC,38,35,,,N,,
6/12/2014,SEINE,SUC,31,29,,,N,,
6/12/2014,SEINE,SUC,32,30,0.2,FIELD,N,,
6/12/2014,SEINE,SUC,32,29,0.2,FIELD,N,,
6/12/2014,SEINE,SUC,36,33,0.5,FIELD,N,,
6/12/2014,SEINE,SUC,31,29,,,N,,
6/12/2014,SEINE,SUC,32,30,0.3,FIELD,N,,
6/12/2014,SEINE,SUC,34,31,0.3,FIELD,N,,
6/12/2014,SEINE,SUC,34,31,,,N,,
6/12/2014,SEINE,SUC,25,23,,,N,,
6/12/2014,SEINE,SUC,27,25,,,N,,
6/12/2014,SEINE,SUC,28,26,,,N,,
6/12/2014,SEINE,SUC,32,30,,,N,,
6/12/2014,SEINE,SUC,27,25,,,N,,
6/12/2014,SEINE,SUC,23,21,,,N,,
6/12/2014,SEINE,SUC,44,41,0.7,FIELD,N,,
6/12/2014,SEINE,SUC,32,30,,,N,,
6/12/2014,SEINE,SUC,25,33,,,N,,
6/12/2014,SEINE,SUC,27,25,,,N,,
6/12/2014,SEINE,SUC,32,30,,,N,,
6/12/2014,SEINE,SUC,29,26,,,N,,
6/12/2014,SEINE,SUC,38,28,,,N,,
6/12/2014,SEINE,SUC,35,32,,,N,,
6/12/2014,SEINE,SUC,34,32,,,N,,
6/12/2014,SEINE,SUC,31,29,,,N,,
6/12/2014,SEINE,SUC,29,28,,,N,,
6/12/2014,SEINE,SUC,29,28,,,N,,
6/12/2014,SEINE,SUC,25,24,,,N,,
6/12/2014,SEINE,SUC,34,33,,,N,,
6/12/2014,SEINE,SUC,29,28,,,N,,
6/12/2014,SEINE,SUC,27,26,,,N,,
6/12/2014,SEINE,SUC,46,44,,,N,,
6/12/2014,SEINE,SUC,36,35,,,N,,
6/12/2014,SEINE,SUC,22,21,,,N,,
6/12/2014,SEINE,SUC,33,32,,,N,,
6/12/2014,SEINE,SUC,35,32,,,N,,
6/12/2014,SEINE,SUC,33,31,,,N,,
6/12/2014,SEINE,SUC,30,29,,,N,,
6/12/2014,SEINE,SUC,29,28,,,N,,
6/12/2014,SEINE,SUC,28,27,,,N,,
6/12/2014,SEINE,SUC,31,30,,,N,,
6/12/2014,SEINE,SUC,26,25,,,N,,
6/12/2014,SEINE,SUC,27,26,,,N,,
6/12/2014,SEINE,SUC,28,27,,,N,,
6/12/2014,SEINE,SUC,27,26,,,N,,
6/12/2014,SEINE,SUC,34,33,,,N,,
6/12/2014,SEINE,SUC,32,30,,,N,,
6/12/2014,SEINE,SUC,28,27,,,N,,
6/12/2014,SEINE,SUC,40,38,,,N,,
6/12/2014,SEINE,SUC,34,33,,,N,,
6/12/2014,SEINE,SUC,31,30,,,N,,
6/12/2014,SEINE,SUC,36,34,,,N,,
6/12/2014,SEINE,SUC,39,37,,,N,,
6/12/2014,SEINE,SUC,34,32,,,N,,
6/12/2014,SEINE,SUC,31,29,,,N,,
6/12/2014,SEINE,SUC,40,38,,,N,,
6/12/2014,SEINE,SUC,31,29,,,N,,
6/12/2014,SEINE,SUC,26,25,,,N,,
6/12/2014,SEINE,SUC,24,23,,,N,,
6/12/2014,SEINE,SUC,27,26,,,N,,
6/12/2014,SEINE,SUC,32,30,,,N,,
6/12/2014,SEINE,SUC,32,30,,,N,,
6/12/2014,SEINE,SUC,34,32,,,N,,
6/12/2014,SEINE,SUC,38,35,,,N,,
6/12/2014,SEINE,SUC,33,32,,,N,,
6/12/2014,SEINE,SUC,42,40,,,N,,
6/12/2014,SEINE,SUC,42,40,,,N,,
6/12/2014,SEINE,SUC,33,31,,,N,,
6/12/2014,SEINE,SUC,25,24,,,N,,
6/12/2014,SEINE,SUC,39,38,,,N,,
6/12/2014,SEINE,SUC,30,29,,,N,,
6/12/2014,SEINE,SUC,39,36,,,N,,
6/12/2014,SEINE,SUC,23,20,,,N,,
6/12/2014,SEINE,SUC,31,29,,,N,,
6/12/2014,SEINE,SUC,21,19,,,N,,
6/12/2014,SEINE,SUC,31,28,,,N,,
6/12/2014,SEINE,SUC,29,19,,,N,,
6/12/2014,SEINE,SUC,32,29,,,N,,
6/12/2014,SEINE,SUC,28,26,,,N,,
6/12/2014,SEINE,SUC,32,29,,,N,,
6/12/2014,SEINE,SUC,22,20,,,N,,
6/12/2014,SEINE,SUC,30,27,,,N,,
6/12/2014,SEINE,SUC,36,33,,,N,,
6/12/2014,SEINE,SUC,31,29,,,N,,
6/12/2014,SEINE,SUC,29,26,,,N,,
6/12/2014,SEINE,SUC,32,29,,,N,,
6/12/2014,SEINE,SUC,30,27,,,N,,
6/12/2014,SEINE,SUC,34,31,,,N,,
6/12/2014,SEINE,SUC,34,31,,,N,,
6/12/2014,SEINE,SUC,35,33,,,N,,
6/12/2014,SEINE,SUC,30,28,,,N,,
6/12/2014,SEINE,SUC,30,27,,,N,,
6/12/2014,SEINE,SUC,31,29,,,N,,
6/12/2014,SEINE,SUC,27,25,,,N,,
6/12/2014,SEINE,SUC,25,23,,,N,,
6/12/2014,SEINE,SUC,28,26,,,N,,
6/12/2014,SEINE,SUC,29,26,,,N,,
6/12/2014,SEINE,SUC,33,30,,,N,,
6/13/2014,SEINE,BHS,49,42,1.1,FIELD,Y,BHS.6.03,
6/13/2014,SEINE,BHS,43,39,0.5,FIELD,Y,BHS.6.04,
6/13/2014,SEINE,BHS,72,67,3.1,FIELD,Y,BHS.6.05,
6/12/2014,HOOP,HBC,92,84,8.6,FIELD,N,,
6/12/2014,HOOP,HBC,97,87,5.8,FIELD,N,,
6/12/2014,HOOP,HBC,48,41,0.7,FIELD,N,,
6/12/2014,HOOP,HBC,82,74,3.7,FIELD,N,,
6/12/2014,HOOP,HBC,53,47,1,FIELD,N,,
6/12/2014,HOOP,HBC,52,45,0.9,FIELD,N,,
6/12/2014,HOOP,HBC,48,43,0.7,FIELD,N,,
6/12/2014,HOOP,HBC,46,42,0.5,FIELD,N,,
6/12/2014,HOOP,HBC,48,43,1,FIELD,N,,
6/12/2014,HOOP,HBC,43,38,0.8,FIELD,N,,
6/12/2014,HOOP,HBC,49,42,0.9,FIELD,N,,
6/13/2014,HOOP,BHS,69,62,2.7,FIELD,Y,BHS.6.06,
6/13/2014,SEINE,BHS,45,41,0.7,LM REGRESSION,Y,BHS.6.07,
6/12/2014,HOOP,HBC,46,40,0.6,FIELD,N,,
6/12/2014,HOOP,HBC,42,37,,,N,,
6/13/2014,SEINE,BHS,39,37,0.4,LM REGRESSION,Y,BHS.6.08,
6/12/2014,HOOP,HBC,107,96,8.7,FIELD,N,,
6/12/2014,HOOP,HBC,158,145,31.2,FIELD,N,,
6/12/2014,HOOP,HBC,152,135,27.3,FIELD,N,,
6/12/2014,HOOP,SPD,46,42,0.8,FIELD,Y,SPD.6.05,
6/12/2014,HOOP,SPD,45,42,2,FIELD,N,,
6/12/2014,HOOP,HBC,50,44,0.9,FIELD,N,,
6/12/2014,HOOP,HBC,42,38,0.6,FIELD,N,,
6/12/2014,HOOP,HBC,45,39,0.6,FIELD,N,,
6/12/2014,HOOP,HBC,133,117,15.8,FIELD,N,,
6/12/2014,HOOP,HBC,140,124,22.5,FIELD,N,,
6/12/2014,HOOP,HBC,50,46,0.9,FIELD,N,,
6/12/2014,HOOP,HBC,47,42,0.6,FIELD,N,,
6/12/2014,HOOP,HBC,46,42,0.7,FIELD,N,,
6/12/2014,HOOP,HBC,47,44,0.7,FIELD,N,,
6/12/2014,HOOP,HBC,48,43,0.7,FIELD,N,,
6/12/2014,HOOP,HBC,49,45,0.8,FIELD,N,,
6/12/2014,HOOP,HBC,49,44,0.7,FIELD,N,,
6/12/2014,HOOP,SUC,49,46,1,FIELD,N,,
6/12/2014,HOOP,HBC,43,39,0.4,FIELD,N,,
6/12/2014,HOOP,HBC,54,48,1.1,FIELD,N,,
6/12/2014,HOOP,HBC,49,44,0.7,FIELD,N,,
6/12/2014,HOOP,HBC,102,93,7.8,FIELD,N,,
6/12/2014,HOOP,HBC,170,152,32.1,FIELD,N,,
6/12/2014,HOOP,HBC,190,160,47.8,FIELD,N,,
6/12/2014,HOOP,HBC,50,45,0.6,FIELD,N,,
6/13/2014,SEINE,BHS,78,70,3.5,LM REGRESSION,Y,BHS.6.09,
6/12/2014,HOOP,HBC,202,182,62.7,FIELD,N,,
6/12/2014,HOOP,HBC,47,43,0.8,FIELD,N,,
6/12/2014,HOOP,SUC,43,39,0.6,FIELD,N,,
6/15/2014,HOOP,FMS,56,48,1.7,FIELD,Y,FMS.6.51,
6/15/2014,HOOP,FMS,48,46,1,FIELD,Y,FMS.6.52,
6/12/2014,SEINE,SUC,35,32,,,N,,
6/12/2014,SEINE,SUC,30,28,,,N,,
6/12/2014,SEINE,HBC,49,44,1.2,FIELD,N,,
6/12/2014,SEINE,HBC,45,41,0.8,FIELD,N,,
6/12/2014,SEINE,FMS,51,47,1,FIELD,Y,FMS.6.01,
6/12/2014,SEINE,SUC,37,34,0.5,FIELD,N,,
6/12/2014,SEINE,SUC,34,31,0.3,FIELD,N,,
6/14/2014,SEINE,FMS,50,45,1,FIELD,Y,FMS.6.10,
6/12/2014,HOOP,HBC,131,120,16.2,FIELD,N,,
6/12/2014,HOOP,HBC,47,42,0.7,FIELD,N,,
6/12/2014,HOOP,HBC,141,126,21.7,FIELD,N,,
6/12/2014,HOOP,HBC,130,119,18.5,FIELD,N,,
6/12/2014,HOOP,HBC,190,165,50.1,FIELD,N,,
6/12/2014,HOOP,HBC,94,83,6.2,FIELD,N,,
6/12/2014,HOOP,HBC,94,83,5.4,FIELD,N,,
6/12/2014,HOOP,HBC,123,110,14.2,FIELD,N,,
6/12/2014,HOOP,HBC,140,128,20,FIELD,N,,
